site_name,Latitude,Longitude
266,40.7561,-7.86278
267,40.56781,-7.75841
268,-33.1037464,-66.0223986
269,-33.12168053,-66.02868607
270,-13.86111111,-40.24972222
271,-13.87333333,-40.07694444
272,-13.92055556,-40.02888889
273,-14.06805556,-39.92416667
274,-14.13416667,-39.76333333
275,44.33306,-68.25411
276,44.33306,-68.25411
277,44.33306,-68.25411
278,44.33306,-68.25411
279,44.33306,-68.25411
280,44.33306,-68.25411
281,44.33306,-68.25411
282,44.33306,-68.25411
283,44.33306,-68.25411
284,44.33306,-68.25411
285,44.33306,-68.25411
286,44.33306,-68.25411
287,44.33306,-68.25411
288,44.33306,-68.25411
289,44.33306,-68.25411
290,44.33306,-68.25411
291,44.33306,-68.25411
292,44.33306,-68.25411
293,44.33306,-68.25411
294,44.33306,-68.25411
295,44.33306,-68.25411
296,44.33306,-68.25411
297,44.33306,-68.25411
298,44.33306,-68.25411
299,44.33306,-68.25411
300,44.33306,-68.25411
301,39.32261,-76.63925
302,33.2016,-81.7532
303,39.32261,-76.63925
304,33.2016,-81.7532
305,39.32261,-76.63925
306,33.2016,-81.7532
307,49.660121,-93.727616
308,49.660121,-93.727616
309,44.35,-68.21666667
310,44.35,-68.21666667
311,40.64451667,49.53968333
312,40.62336667,49.57826667
313,40.61428333,49.62133333
314,40.59646667,49.62833333
315,40.60633333,49.67461667
316,40.57446667,49.71881667
317,40.88353333,48.99666667
318,39.94628333,48.91766667
319,33.340487,-81.718261
320,33.334795,-81.717521
321,33.327436,-81.718229
322,33.305667,-81.711749
323,33.29493,-81.70408
324,33.29223,-81.70148
325,33.29223,-81.70148
326,-22.46566816,-43.00171717
327,-22.46566816,-43.00171717
328,-22.46566816,-43.00171717
329,-22.46566816,-43.00171717
330,-22.46566816,-43.00171717
331,-22.46566816,-43.00171717
332,-22.46566816,-43.00171717
333,-22.46566816,-43.00171717
334,-22.46566816,-43.00171717
335,-22.46566816,-43.00171717
336,-22.46566816,-43.00171717
337,-22.46566816,-43.00171717
338,-22.46566816,-43.00171717
339,-22.46566816,-43.00171717
340,-22.46566816,-43.00171717
341,-22.46566816,-43.00171717
342,-22.46566816,-43.00171717
343,-22.46566816,-43.00171717
344,-22.46566816,-43.00171717
345,-22.46566816,-43.00171717
346,-22.46566816,-43.00171717
347,-22.46566816,-43.00171717
348,-22.46566816,-43.00171717
349,-22.46566816,-43.00171717
350,-22.46566816,-43.00171717
351,-22.46566816,-43.00171717
352,-22.46566816,-43.00171717
353,-22.46566816,-43.00171717
354,-22.46566816,-43.00171717
355,-22.46566816,-43.00171717
356,31.5326,-111.25694
357,31.571296,-111.32295
358,31.57168,-111.32745
359,31.58858,-111.35989
360,36.42731667,104.3904667
361,36.42731667,104.3904667
362,36.42731667,104.3904667
363,36.42731667,104.3904667
364,36.42731667,104.3904667
365,36.42731667,104.3904667
366,36.42731667,104.3904667
367,36.42731667,104.3904667
368,36.42731667,104.3904667
369,36.42731667,104.3904667
370,45.57166,15.14714
371,45.57166,15.14714
372,45.57166,15.14714
373,45.57166,15.14714
374,45.57166,15.14714
375,45.57166,15.14714
376,45.57166,15.14714
377,45.57166,15.14714
378,45.57166,15.14714
379,45.57166,15.14714
380,45.57166,15.14714
381,40.573703,-105.84412
382,40.573703,-105.84412
383,40.573703,-105.84412
384,40.573703,-105.84412
385,40.573703,-105.84412
386,40.573703,-105.84412
387,40.573703,-105.84412
388,40.573703,-105.84412
389,40.573703,-105.84412
390,40.573703,-105.84412
391,40.573703,-105.84412
392,40.573703,-105.84412
393,40.573703,-105.84412
394,40.573703,-105.84412
395,40.573703,-105.84412
396,40.573703,-105.84412
397,40.573703,-105.84412
398,40.573703,-105.84412
399,40.573703,-105.84412
400,40.573703,-105.84412
401,40.573703,-105.84412
402,40.573703,-105.84412
403,40.573703,-105.84412
404,40.573703,-105.84412
405,40.573703,-105.84412
406,40.573703,-105.84412
407,40.573703,-105.84412
408,40.573703,-105.84412
409,40.573703,-105.84412
410,40.573703,-105.84412
411,40.573703,-105.84412
412,40.573703,-105.84412
413,40.573703,-105.84412
414,40.573703,-105.84412
415,40.573703,-105.84412
416,40.573703,-105.84412
417,40.573703,-105.84412
418,40.573703,-105.84412
419,40.573703,-105.84412
420,40.573703,-105.84412
421,40.573703,-105.84412
422,40.573703,-105.84412
423,40.573703,-105.84412
424,40.573703,-105.84412
425,40.573703,-105.84412
426,40.58363,-105.845715
427,40.58363,-105.845715
428,40.58363,-105.845715
429,40.58363,-105.845715
430,40.58363,-105.845715
431,40.58363,-105.845715
432,40.58363,-105.845715
433,40.58363,-105.845715
434,40.58363,-105.845715
435,40.58363,-105.845715
436,40.58363,-105.845715
437,40.58363,-105.845715
438,40.58363,-105.845715
439,40.58363,-105.845715
440,40.58363,-105.845715
441,40.58363,-105.845715
442,40.58363,-105.845715
443,40.58363,-105.845715
444,40.58363,-105.845715
445,40.58363,-105.845715
446,40.58363,-105.845715
447,40.58363,-105.845715
448,40.58363,-105.845715
449,40.58363,-105.845715
450,40.58363,-105.845715
451,40.58363,-105.845715
452,40.58363,-105.845715
453,40.58363,-105.845715
454,40.58363,-105.845715
455,40.58363,-105.845715
456,40.58363,-105.845715
457,40.58363,-105.845715
458,40.58363,-105.845715
459,40.58363,-105.845715
460,40.58363,-105.845715
461,40.58363,-105.845715
462,40.58363,-105.845715
463,40.58363,-105.845715
464,40.58363,-105.845715
465,40.58363,-105.845715
466,40.58363,-105.845715
467,40.58363,-105.845715
468,40.58363,-105.845715
469,40.58363,-105.845715
470,40.58363,-105.845715
471,40.58363,-105.845715
472,40.58363,-105.845715
473,40.58363,-105.845715
474,40.58363,-105.845715
475,40.58363,-105.845715
476,40.58363,-105.845715
477,36.95236,-6.27439
478,33.30666,-81.78115
479,33.26794,-81.62031
480,33.289893,-81.48183
481,33.23899,-81.48757
482,33.22986,-81.52431
483,33.22259,-81.54188
484,33.1645,-81.66172
485,33.1585,-81.65627
486,33.13849,-81.63833
487,33.16581,-81.73002
488,39.83052778,41.02788889
489,39.87469444,41.12425
490,39.95151919,41.17655556
491,39.01166667,-122.3611111
492,39.01166667,-122.3611111
493,44.35,-68.21666667
494,44.35,-68.21666667
495,44.35,-68.21666667
496,44.35,-68.21666667
497,44.35,-68.21666667
498,44.35,-68.21666667
499,44.35,-68.21666667
500,44.35,-68.21666667
501,44.35,-68.21666667
502,17.29574,101.75709
503,17.29574,101.75709
504,17.29574,101.75709
505,17.29574,101.75709
506,17.29574,101.75709
507,56.370912,43.777608
508,56.311944,43.848889
509,21.46666667,110.25
510,32.5375,74.43333333
511,32.4434,74.18514
512,32.5375,74.43333333
513,32.4434,74.18514
514,41.624,21.72
515,45.60331944,20.05206111
516,44.74889722,20.73956667
517,45.183875,19.81974167
518,35.88263889,-112.0957
519,47.5,19.23333333
520,47.55,21.61666667
521,48.05,20.33333333
522,6.844815,79.893136
523,6.68801,79.95266
524,6.833333333,79.9
525,7.016666667,79.86666667
526,45.60319444,27.47
527,44.73473056,20.73956667
528,27.5699,109.24202
529,27.535365,109.308584
530,27.596073,109.35128
531,27.678018,109.411157
532,16.4308,102.8368
533,16.4308,102.8368
534,16.4308,102.8368
535,16.4308,102.8368
536,16.4308,102.8368
537,35.31222222,133.9358333
538,35.31222222,133.9358333
539,35.31222222,133.9358333
540,35.31222222,133.9358333
541,35.31222222,133.9358333
542,35.31222222,133.9358333
543,39.73419,-5.91391
544,49.81666667,25.38333333
545,49.81666667,25.38333333
546,49.81666667,25.38333333
547,49.55,25.61666667
548,49.55,25.61666667
